"","text","machine","minutes","seconds","total"
"1","Request completed in 9.21m 12.86s","ibmqx4",9.21,12.86,565.46
"2","Request completed in 0.49m 29.6s","ibmqx4",0.49,29.6,59
"3","Request completed in 1.37m 22.25s","ibmqx4",1.37,22.25,104.45
"4","Request completed in 9.28m 16.75s","ibmqx4",9.28,16.75,573.55
"5","Request completed in 9.9m 53.88s","ibmqx4",9.9,53.88,647.88
"6","Request completed in 5.17m 10.12s","ibmqx4",5.17,10.12,320.32
"7","Request completed in 0.44m 26.48s","ibmqx4",0.44,26.48,52.88
"8","Request completed in 0.44m 26.32s","ibmqx4",0.44,26.32,52.72
"9","Request completed in 0.44m 26.3s","ibmqx4",0.44,26.3,52.7
"10","Request completed in 0.45m 27.29s","ibmqx4",0.45,27.29,54.29
"11","Request completed in 0.55m 32.99s","ibmqx4",0.55,32.99,65.99
"12","Request completed in 0.45m 27.21s","ibmqx4",0.45,27.21,54.21
"13","Request completed in 0.43m 25.98s","ibmqx4",0.43,25.98,51.78
"14","Request completed in 0.46m 27.4s","ibmqx4",0.46,27.4,55
"15","Request completed in 0.45m 27.26s","ibmqx4",0.45,27.26,54.26
"16","Request completed in 0.44m 26.49s","ibmqx4",0.44,26.49,52.89
"17","Request completed in 0.47m 28.3s","ibmqx4",0.47,28.3,56.5
"18","Request completed in 0.43m 25.89s","ibmqx4",0.43,25.89,51.69
"19","Request completed in 0.44m 26.63s","ibmqx4",0.44,26.63,53.03
"20","Request completed in 0.47m 28.12s","ibmqx4",0.47,28.12,56.32
"21","Request completed in 0.46m 27.31s","ibmqx4",0.46,27.31,54.91
"22","Request completed in 0.44m 26.68s","ibmqx4",0.44,26.68,53.08
"23","Request completed in 0.46m 27.57s","ibmqx4",0.46,27.57,55.17
"24","Request completed in 0.45m 26.71s","ibmqx4",0.45,26.71,53.71
"25","Request completed in 0.45m 27.0s","ibmqx4",0.45,27,54
"26","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"27","Request completed in 0.44m 26.52s","ibmqx4",0.44,26.52,52.92
"28","Request completed in 0.45m 26.74s","ibmqx4",0.45,26.74,53.74
"29","Request completed in 0.45m 26.95s","ibmqx4",0.45,26.95,53.95
"30","Request completed in 0.45m 27.17s","ibmqx4",0.45,27.17,54.17
"31","Request completed in 0.43m 26.03s","ibmqx4",0.43,26.03,51.83
"32","Request completed in 0.43m 26.01s","ibmqx4",0.43,26.01,51.81
"33","Request completed in 0.44m 26.59s","ibmqx4",0.44,26.59,52.99
"34","Request completed in 0.48m 28.67s","ibmqx4",0.48,28.67,57.47
"35","Request completed in 0.47m 28.49s","ibmqx4",0.47,28.49,56.69
"36","Request completed in 0.45m 26.94s","ibmqx4",0.45,26.94,53.94
"37","Request completed in 0.45m 27.18s","ibmqx4",0.45,27.18,54.18
"38","Request completed in 0.43m 25.88s","ibmqx4",0.43,25.88,51.68
"39","Request completed in 0.45m 26.84s","ibmqx4",0.45,26.84,53.84
"40","Request completed in 0.44m 26.49s","ibmqx4",0.44,26.49,52.89
"41","Request completed in 0.49m 29.29s","ibmqx4",0.49,29.29,58.69
"42","Request completed in 0.51m 30.42s","ibmqx4",0.51,30.42,61.02
"43","Request completed in 0.46m 27.53s","ibmqx4",0.46,27.53,55.13
"44","Request completed in 0.49m 29.3s","ibmqx4",0.49,29.3,58.7
"45","Request completed in 0.48m 28.78s","ibmqx4",0.48,28.78,57.58
"46","Request completed in 0.48m 28.7s","ibmqx4",0.48,28.7,57.5
"47","Request completed in 0.49m 29.41s","ibmqx4",0.49,29.41,58.81
"48","Request completed in 0.47m 28.06s","ibmqx4",0.47,28.06,56.26
"49","Request completed in 0.49m 29.38s","ibmqx4",0.49,29.38,58.78
"50","Request completed in 0.47m 28.28s","ibmqx4",0.47,28.28,56.48
"51","Request completed in 0.52m 30.94s","ibmqx4",0.52,30.94,62.14
"52","Request completed in 0.52m 31.04s","ibmqx4",0.52,31.04,62.24
"53","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"54","Request completed in 0.47m 27.96s","ibmqx4",0.47,27.96,56.16
"55","Request completed in 0.49m 29.18s","ibmqx4",0.49,29.18,58.58
"56","Request completed in 0.49m 29.51s","ibmqx4",0.49,29.51,58.91
"57","Request completed in 0.47m 28.11s","ibmqx4",0.47,28.11,56.31
"58","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"59","Request completed in 0.48m 28.57s","ibmqx4",0.48,28.57,57.37
"60","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"61","Request completed in 0.45m 27.04s","ibmqx4",0.45,27.04,54.04
"62","Request completed in 0.47m 28.47s","ibmqx4",0.47,28.47,56.67
"63","Request completed in 0.47m 28.47s","ibmqx4",0.47,28.47,56.67
"64","Request completed in 0.49m 29.69s","ibmqx4",0.49,29.69,59.09
"65","Request completed in 0.45m 27.05s","ibmqx4",0.45,27.05,54.05
"66","Request completed in 0.47m 27.96s","ibmqx4",0.47,27.96,56.16
"67","Request completed in 0.45m 26.94s","ibmqx4",0.45,26.94,53.94
"68","Request completed in 0.45m 26.83s","ibmqx4",0.45,26.83,53.83
"69","Request completed in 0.45m 27.16s","ibmqx4",0.45,27.16,54.16
"70","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"71","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"72","Request completed in 0.45m 26.93s","ibmqx4",0.45,26.93,53.93
"73","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"74","Request completed in 0.45m 26.72s","ibmqx4",0.45,26.72,53.72
"75","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"76","Request completed in 0.45m 27.23s","ibmqx4",0.45,27.23,54.23
"77","Request completed in 0.47m 28.26s","ibmqx4",0.47,28.26,56.46
"78","Request completed in 0.47m 28.06s","ibmqx4",0.47,28.06,56.26
"79","Request completed in 0.45m 27.16s","ibmqx4",0.45,27.16,54.16
"80","Request completed in 0.45m 26.94s","ibmqx4",0.45,26.94,53.94
"81","Request completed in 0.56m 33.39s","ibmqx4",0.56,33.39,66.99
"82","Request completed in 0.47m 27.98s","ibmqx4",0.47,27.98,56.18
"83","Request completed in 0.45m 26.92s","ibmqx4",0.45,26.92,53.92
"84","Request completed in 0.47m 28.26s","ibmqx4",0.47,28.26,56.46
"85","Request completed in 0.47m 27.98s","ibmqx4",0.47,27.98,56.18
"86","Request completed in 0.47m 28.36s","ibmqx4",0.47,28.36,56.56
"87","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"88","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"89","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"90","Request completed in 0.45m 26.83s","ibmqx4",0.45,26.83,53.83
"91","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"92","Request completed in 0.46m 27.36s","ibmqx4",0.46,27.36,54.96
"93","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"94","Request completed in 0.45m 26.93s","ibmqx4",0.45,26.93,53.93
"95","Request completed in 0.56m 33.69s","ibmqx4",0.56,33.69,67.29
"96","Request completed in 0.45m 26.84s","ibmqx4",0.45,26.84,53.84
"97","Request completed in 0.46m 27.54s","ibmqx4",0.46,27.54,55.14
"98","Request completed in 0.45m 27.04s","ibmqx4",0.45,27.04,54.04
"99","Request completed in 0.45m 26.83s","ibmqx4",0.45,26.83,53.83
"100","Request completed in 0.44m 26.64s","ibmqx4",0.44,26.64,53.04
"101","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"102","Request completed in 0.49m 29.28s","ibmqx4",0.49,29.28,58.68
"103","Request completed in 0.45m 27.05s","ibmqx4",0.45,27.05,54.05
"104","Request completed in 0.45m 26.93s","ibmqx4",0.45,26.93,53.93
"105","Request completed in 0.45m 26.83s","ibmqx4",0.45,26.83,53.83
"106","Request completed in 0.47m 28.49s","ibmqx4",0.47,28.49,56.69
"107","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"108","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"109","Request completed in 0.45m 27.03s","ibmqx4",0.45,27.03,54.03
"110","Request completed in 0.45m 27.14s","ibmqx4",0.45,27.14,54.14
"111","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"112","Request completed in 0.45m 27.15s","ibmqx4",0.45,27.15,54.15
"113","Request completed in 0.45m 27.03s","ibmqx4",0.45,27.03,54.03
"114","Request completed in 0.46m 27.36s","ibmqx4",0.46,27.36,54.96
"115","Request completed in 0.46m 27.64s","ibmqx4",0.46,27.64,55.24
"116","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"117","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"118","Request completed in 0.47m 28.06s","ibmqx4",0.47,28.06,56.26
"119","Request completed in 0.45m 27.03s","ibmqx4",0.45,27.03,54.03
"120","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"121","Request completed in 0.44m 26.63s","ibmqx4",0.44,26.63,53.03
"122","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"123","Request completed in 0.48m 28.99s","ibmqx4",0.48,28.99,57.79
"124","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"125","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"126","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"127","Request completed in 0.46m 27.45s","ibmqx4",0.46,27.45,55.05
"128","Request completed in 0.48m 28.68s","ibmqx4",0.48,28.68,57.48
"129","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"130","Request completed in 0.56m 33.59s","ibmqx4",0.56,33.59,67.19
"131","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"132","Request completed in 0.51m 30.31s","ibmqx4",0.51,30.31,60.91
"133","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"134","Request completed in 0.42m 25.4s","ibmqx4",0.42,25.4,50.6
"135","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"136","Request completed in 0.46m 27.38s","ibmqx4",0.46,27.38,54.98
"137","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"138","Request completed in 0.48m 28.68s","ibmqx4",0.48,28.68,57.48
"139","Request completed in 0.45m 27.13s","ibmqx4",0.45,27.13,54.13
"140","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"141","Request completed in 0.47m 28.26s","ibmqx4",0.47,28.26,56.46
"142","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"143","Request completed in 0.46m 27.65s","ibmqx4",0.46,27.65,55.25
"144","Request completed in 0.46m 27.54s","ibmqx4",0.46,27.54,55.14
"145","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"146","Request completed in 0.47m 28.47s","ibmqx4",0.47,28.47,56.67
"147","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"148","Request completed in 0.49m 29.19s","ibmqx4",0.49,29.19,58.59
"149","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"150","Request completed in 0.48m 28.78s","ibmqx4",0.48,28.78,57.58
"151","Request completed in 0.5m 29.99s","ibmqx4",0.5,29.99,59.99
"152","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"153","Request completed in 0.48m 28.58s","ibmqx4",0.48,28.58,57.38
"154","Request completed in 0.47m 28.25s","ibmqx4",0.47,28.25,56.45
"155","Request completed in 0.46m 27.65s","ibmqx4",0.46,27.65,55.25
"156","Request completed in 0.45m 27.14s","ibmqx4",0.45,27.14,54.14
"157","Request completed in 0.46m 27.66s","ibmqx4",0.46,27.66,55.26
"158","Request completed in 0.47m 27.97s","ibmqx4",0.47,27.97,56.17
"159","Request completed in 0.47m 28.36s","ibmqx4",0.47,28.36,56.56
"160","Request completed in 0.46m 27.87s","ibmqx4",0.46,27.87,55.47
"161","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"162","Request completed in 0.46m 27.66s","ibmqx4",0.46,27.66,55.26
"163","Request completed in 0.45m 26.73s","ibmqx4",0.45,26.73,53.73
"164","Request completed in 0.4m 24.28s","ibmqx4",0.4,24.28,48.28
"165","Request completed in 0.47m 28.05s","ibmqx4",0.47,28.05,56.25
"166","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"167","Request completed in 0.46m 27.74s","ibmqx4",0.46,27.74,55.34
"168","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"169","Request completed in 0.47m 28.47s","ibmqx4",0.47,28.47,56.67
"170","Request completed in 0.46m 27.45s","ibmqx4",0.46,27.45,55.05
"171","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"172","Request completed in 0.47m 27.96s","ibmqx4",0.47,27.96,56.16
"173","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"174","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"175","Request completed in 0.45m 27.26s","ibmqx4",0.45,27.26,54.26
"176","Request completed in 0.47m 28.26s","ibmqx4",0.47,28.26,56.46
"177","Request completed in 0.48m 28.89s","ibmqx4",0.48,28.89,57.69
"178","Request completed in 0.47m 27.95s","ibmqx4",0.47,27.95,56.15
"179","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"180","Request completed in 0.46m 27.33s","ibmqx4",0.46,27.33,54.93
"181","Request completed in 0.56m 33.4s","ibmqx4",0.56,33.4,67
"182","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"183","Request completed in 0.46m 27.74s","ibmqx4",0.46,27.74,55.34
"184","Request completed in 0.46m 27.68s","ibmqx4",0.46,27.68,55.28
"185","Request completed in 0.47m 28.05s","ibmqx4",0.47,28.05,56.25
"186","Request completed in 0.47m 28.06s","ibmqx4",0.47,28.06,56.26
"187","Request completed in 0.46m 27.75s","ibmqx4",0.46,27.75,55.35
"188","Request completed in 0.45m 27.05s","ibmqx4",0.45,27.05,54.05
"189","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"190","Request completed in 0.47m 28.08s","ibmqx4",0.47,28.08,56.28
"191","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"192","Request completed in 0.46m 27.75s","ibmqx4",0.46,27.75,55.35
"193","Request completed in 0.47m 27.95s","ibmqx4",0.47,27.95,56.15
"194","Request completed in 0.47m 28.25s","ibmqx4",0.47,28.25,56.45
"195","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"196","Request completed in 0.47m 28.36s","ibmqx4",0.47,28.36,56.56
"197","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"198","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"199","Request completed in 0.48m 28.9s","ibmqx4",0.48,28.9,57.7
"200","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"201","Request completed in 0.46m 27.35s","ibmqx4",0.46,27.35,54.95
"202","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"203","Request completed in 0.47m 28.38s","ibmqx4",0.47,28.38,56.58
"204","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"205","Request completed in 0.47m 28.26s","ibmqx4",0.47,28.26,56.46
"206","Request completed in 1.05m 3.18s","ibmqx4",1.05,3.18,66.18
"207","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"208","Request completed in 0.5m 29.91s","ibmqx4",0.5,29.91,59.91
"209","Request completed in 0.47m 28.47s","ibmqx4",0.47,28.47,56.67
"210","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"211","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"212","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"213","Request completed in 0.46m 27.66s","ibmqx4",0.46,27.66,55.26
"214","Request completed in 0.47m 28.46s","ibmqx4",0.47,28.46,56.66
"215","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"216","Request completed in 0.46m 27.53s","ibmqx4",0.46,27.53,55.13
"217","Request completed in 0.46m 27.87s","ibmqx4",0.46,27.87,55.47
"218","Request completed in 0.46m 27.85s","ibmqx4",0.46,27.85,55.45
"219","Request completed in 0.46m 27.65s","ibmqx4",0.46,27.65,55.25
"220","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"221","Request completed in 0.46m 27.34s","ibmqx4",0.46,27.34,54.94
"222","Request completed in 0.46m 27.86s","ibmqx4",0.46,27.86,55.46
"223","Request completed in 0.48m 28.66s","ibmqx4",0.48,28.66,57.46
"224","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"225","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"226","Request completed in 0.47m 28.27s","ibmqx4",0.47,28.27,56.47
"227","Request completed in 0.47m 28.25s","ibmqx4",0.47,28.25,56.45
"228","Request completed in 0.48m 28.57s","ibmqx4",0.48,28.57,57.37
"229","Request completed in 0.49m 29.28s","ibmqx4",0.49,29.28,58.68
"230","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"231","Request completed in 0.46m 27.33s","ibmqx4",0.46,27.33,54.93
"232","Request completed in 0.48m 28.89s","ibmqx4",0.48,28.89,57.69
"233","Request completed in 0.46m 27.35s","ibmqx4",0.46,27.35,54.95
"234","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"235","Request completed in 0.47m 28.27s","ibmqx4",0.47,28.27,56.47
"236","Request completed in 0.47m 28.06s","ibmqx4",0.47,28.06,56.26
"237","Request completed in 0.47m 27.96s","ibmqx4",0.47,27.96,56.16
"238","Request completed in 0.47m 28.37s","ibmqx4",0.47,28.37,56.57
"239","Request completed in 0.5m 29.91s","ibmqx4",0.5,29.91,59.91
"240","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"241","Request completed in 0.5m 29.8s","ibmqx4",0.5,29.8,59.8
"242","Request completed in 0.46m 27.65s","ibmqx4",0.46,27.65,55.25
"243","Request completed in 0.45m 27.14s","ibmqx4",0.45,27.14,54.14
"244","Request completed in 0.77m 46.49s","ibmqx4",0.77,46.49,92.69
"245","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"246","Request completed in 0.48m 28.57s","ibmqx4",0.48,28.57,57.37
"247","Request completed in 0.45m 27.24s","ibmqx4",0.45,27.24,54.24
"248","Request completed in 0.46m 27.45s","ibmqx4",0.46,27.45,55.05
"249","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"250","Request completed in 0.46m 27.75s","ibmqx4",0.46,27.75,55.35
"251","Request completed in 0.46m 27.56s","ibmqx4",0.46,27.56,55.16
"252","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"253","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"254","Request completed in 1.4m 23.88s","ibmqx4",1.4,23.88,107.88
"255","Request completed in 9.14m 8.36s","ibmqx4",9.14,8.36,556.76
"256","Request completed in 54.59m 35.18s","ibmqx4",54.59,35.18,3310.58
"257","Request completed in 9.95m 57.21s","ibmqx4",9.95,57.21,654.21
"258","Request completed in 9.68m 40.73s","ibmqx4",9.68,40.73,621.53
