"","text","machine","minutes","seconds","total"
"1","Request completed in 8.98m 58.98s","ibmq_16_melbourne",8.98,58.98,597.78
"2","Request completed in 10.01m 0.52s","ibmq_16_melbourne",10.01,0.52,601.12
"3","Request completed in 4.58m 34.74s","ibmq_16_melbourne",4.58,34.74,309.54
"4","Request completed in 9.29m 17.21s","ibmq_16_melbourne",9.29,17.21,574.61
"5","Request completed in 9.73m 43.5s","ibmq_16_melbourne",9.73,43.5,627.3
"6","Request completed in 0.45m 27.02s","ibmqx4",0.45,27.02,54.02
"7","Request completed in 0.46m 27.69s","ibmqx4",0.46,27.69,55.29
"8","Request completed in 0.47m 28.35s","ibmqx4",0.47,28.35,56.55
"9","Request completed in 0.46m 27.75s","ibmqx4",0.46,27.75,55.35
"10","Request completed in 0.46m 27.55s","ibmqx4",0.46,27.55,55.15
"11","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"12","Request completed in 0.57m 34.09s","ibmqx4",0.57,34.09,68.29
"13","Request completed in 0.5m 29.9s","ibmqx4",0.5,29.9,59.9
"14","Request completed in 0.47m 28.28s","ibmqx4",0.47,28.28,56.48
"15","Request completed in 0.6m 35.8s","ibmq_16_melbourne",0.6,35.8,71.8
"16","Request completed in 0.47m 28.16s","ibmqx4",0.47,28.16,56.36
"17","Request completed in 0.46m 27.88s","ibmqx4",0.46,27.88,55.48
"18","Request completed in 0.47m 28.44s","ibmqx4",0.47,28.44,56.64
"19","Request completed in 0.46m 27.87s","ibmqx4",0.46,27.87,55.47
"20","Request completed in 0.46m 27.57s","ibmqx4",0.46,27.57,55.17
"21","Request completed in 0.45m 26.81s","ibmqx4",0.45,26.81,53.81
"22","Request completed in 0.46m 27.79s","ibmqx4",0.46,27.79,55.39
"23","Request completed in 0.51m 30.44s","ibmqx4",0.51,30.44,61.04
"24","Request completed in 0.5m 30.08s","ibmqx4",0.5,30.08,60.08
"25","Request completed in 0.47m 28.17s","ibmqx4",0.47,28.17,56.37
"26","Request completed in 0.62m 36.92s","ibmq_16_melbourne",0.62,36.92,74.12
"27","Request completed in 0.6m 36.11s","ibmq_16_melbourne",0.6,36.11,72.11
"28","Request completed in 0.57m 34.23s","ibmq_16_melbourne",0.57,34.23,68.43
"29","Request completed in 0.58m 34.92s","ibmq_16_melbourne",0.58,34.92,69.72
"30","Request completed in 0.58m 34.52s","ibmq_16_melbourne",0.58,34.52,69.32
"31","Request completed in 0.59m 35.24s","ibmq_16_melbourne",0.59,35.24,70.64
"32","Request completed in 0.58m 34.98s","ibmq_16_melbourne",0.58,34.98,69.78
"33","Request completed in 0.6m 36.23s","ibmq_16_melbourne",0.6,36.23,72.23
"34","Request completed in 0.61m 36.4s","ibmq_16_melbourne",0.61,36.4,73
"35","Request completed in 0.51m 30.39s","ibmq_16_melbourne",0.51,30.39,60.99
"36","Request completed in 0.59m 35.28s","ibmq_16_melbourne",0.59,35.28,70.68
"37","Request completed in 0.59m 35.49s","ibmq_16_melbourne",0.59,35.49,70.89
"38","Request completed in 0.58m 35.04s","ibmq_16_melbourne",0.58,35.04,69.84
"39","Request completed in 0.59m 35.27s","ibmq_16_melbourne",0.59,35.27,70.67
"40","Request completed in 0.51m 30.59s","ibmq_16_melbourne",0.51,30.59,61.19
"41","Request completed in 0.59m 35.15s","ibmq_16_melbourne",0.59,35.15,70.55
"42","Request completed in 0.6m 36.13s","ibmq_16_melbourne",0.6,36.13,72.13
"43","Request completed in 0.6m 35.77s","ibmq_16_melbourne",0.6,35.77,71.77
"44","Request completed in 0.58m 34.84s","ibmq_16_melbourne",0.58,34.84,69.64
"45","Request completed in 0.59m 35.61s","ibmq_16_melbourne",0.59,35.61,71.01
"46","Request completed in 0.61m 36.52s","ibmq_16_melbourne",0.61,36.52,73.12
"47","Request completed in 0.57m 34.43s","ibmq_16_melbourne",0.57,34.43,68.63
"48","Request completed in 0.58m 34.88s","ibmq_16_melbourne",0.58,34.88,69.68
"49","Request completed in 0.5m 29.87s","ibmq_16_melbourne",0.5,29.87,59.87
"50","Request completed in 0.6m 36.17s","ibmq_16_melbourne",0.6,36.17,72.17
"51","Request completed in 0.57m 34.08s","ibmq_16_melbourne",0.57,34.08,68.28
"52","Request completed in 0.62m 37.4s","ibmq_16_melbourne",0.62,37.4,74.6
"53","Request completed in 0.49m 29.27s","ibmqx4",0.49,29.27,58.67
"54","Request completed in 0.48m 28.91s","ibmqx4",0.48,28.91,57.71
"55","Request completed in 0.46m 27.74s","ibmqx4",0.46,27.74,55.34
"56","Request completed in 0.47m 28.5s","ibmqx4",0.47,28.5,56.7
"57","Request completed in 0.47m 28.12s","ibmqx4",0.47,28.12,56.32
"58","Request completed in 0.48m 28.54s","ibmqx4",0.48,28.54,57.34
"59","Request completed in 0.49m 29.44s","ibmqx4",0.49,29.44,58.84
"60","Request completed in 0.47m 28.21s","ibmqx4",0.47,28.21,56.41
"61","Request completed in 0.47m 28.23s","ibmqx4",0.47,28.23,56.43
"62","Request completed in 0.48m 28.75s","ibmqx4",0.48,28.75,57.55
"63","Request completed in 0.45m 27.28s","ibmqx4",0.45,27.28,54.28
"64","Request completed in 0.47m 28.04s","ibmqx4",0.47,28.04,56.24
"65","Request completed in 0.47m 28.46s","ibmqx4",0.47,28.46,56.66
"66","Request completed in 0.6m 35.79s","ibmqx4",0.6,35.79,71.79
"67","Request completed in 0.46m 27.62s","ibmqx4",0.46,27.62,55.22
"68","Request completed in 0.46m 27.43s","ibmqx4",0.46,27.43,55.03
"69","Request completed in 0.47m 28.18s","ibmqx4",0.47,28.18,56.38
"70","Request completed in 0.49m 29.29s","ibmqx4",0.49,29.29,58.69
"71","Request completed in 0.46m 27.51s","ibmqx4",0.46,27.51,55.11
"72","Request completed in 0.5m 29.78s","ibmqx4",0.5,29.78,59.78
"73","Request completed in 0.46m 27.54s","ibmqx4",0.46,27.54,55.14
"74","Request completed in 0.48m 28.94s","ibmqx4",0.48,28.94,57.74
"75","Request completed in 0.49m 29.2s","ibmqx4",0.49,29.2,58.6
"76","Request completed in 0.47m 28.03s","ibmqx4",0.47,28.03,56.23
"77","Request completed in 0.47m 28.1s","ibmqx4",0.47,28.1,56.3
"78","Request completed in 0.58m 34.53s","ibmqx4",0.58,34.53,69.33
"79","Request completed in 0.46m 27.89s","ibmqx4",0.46,27.89,55.49
"80","Request completed in 0.58m 34.84s","ibmqx4",0.58,34.84,69.64
"81","Request completed in 0.48m 28.59s","ibmqx4",0.48,28.59,57.39
"82","Request completed in 0.48m 28.85s","ibmqx4",0.48,28.85,57.65
"83","Request completed in 0.67m 40.07s","ibmqx4",0.67,40.07,80.27
"84","Request completed in 0.48m 28.74s","ibmqx4",0.48,28.74,57.54
